0,1
"If applicable, start R-18 manually or using the R-18 hand-held re-",
mote.,
Starting engine using the hand-held remote:,
(1),"Turn ignition switch to ON position,
if applicable."
(2),"On the hand-held, set
the PUMP switch to START."
(3),Press and release the action/deadman switch.
(4),"Repeat
for each pumping unit required."
(5),Throttling of the engine from idle to run and back to idle will
,be done automatically based on fuel demand providing com-
,munication systems and PLC's are operational.
